ts_event,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,best_level_ofi,multi_level_ofi,integrated_ofi
2024-10-21 11:54:29.221064336+00:00,2024-10-21 11:54:29.221064336+00:00,10,2,38,C,B,1,233.62,2,130,166627,11405847,AAPL,0,0,-43.71990826869805
2024-10-21 11:54:29.223769812+00:00,2024-10-21 11:54:29.223769812+00:00,10,2,38,A,B,0,233.67,2,130,166814,11405848,AAPL,2,2,-43.687414079433594
2024-10-21 11:54:29.225030400+00:00,2024-10-21 11:54:29.225030400+00:00,10,2,38,A,B,0,233.67,3,130,166409,11405849,AAPL,3,3,-43.67116698480137
2024-10-21 11:54:29.712434212+00:00,2024-10-21 11:54:29.712434212+00:00,10,2,38,A,B,2,233.52,200,130,166400,11406449,AAPL,0,200,-22.28317366208405
2024-10-21 11:54:29.764673165+00:00,2024-10-21 11:54:29.764673165+00:00,10,2,38,C,B,2,233.52,200,130,166056,11406501,AAPL,0,-200,-65.15664287531204
2024-10-21 11:54:29.764685027+00:00,2024-10-21 11:54:29.764685027+00:00,10,2,38,A,B,1,233.54,400,130,166680,11406502,AAPL,0,410,-15.356710728394537
2024-10-21 11:54:36.289427977+00:00,2024-10-21 11:54:36.289427977+00:00,10,2,38,A,A,6,233.9,200,130,166652,11409388,AAPL,0,599,3.096827766683196
2024-10-21 11:54:37.990793976+00:00,2024-10-21 11:54:37.990793976+00:00,10,2,38,A,A,0,233.73,200,130,166641,11410372,AAPL,200,200,-40.470489342252456
2024-10-21 11:54:39.124291588+00:00,2024-10-21 11:54:39.124291588+00:00,10,2,38,C,A,0,233.73,200,130,166412,11410864,AAPL,200,1012,46.1235106589694
2024-10-21 11:54:39.134140341+00:00,2024-10-21 11:54:39.134140341+00:00,10,2,38,A,A,0,233.74,200,130,166793,11410873,AAPL,200,1012,46.1235106589694
2024-10-21 11:54:41.233181043+00:00,2024-10-21 11:54:41.233181043+00:00,10,2,38,C,B,0,233.67,3,130,166396,11411787,AAPL,-3,-3,-43.76864955259474
2024-10-21 11:54:41.234620509+00:00,2024-10-21 11:54:41.234620509+00:00,10,2,38,A,B,0,233.67,1,130,166309,11411790,AAPL,1,1,-43.70366117406583
2024-10-21 11:54:41.235907431+00:00,2024-10-21 11:54:41.235907431+00:00,10,2,38,C,B,0,233.67,1,130,165985,11411831,AAPL,-1,-1,-43.736155363330276
2024-10-21 11:54:41.235977207+00:00,2024-10-21 11:54:41.235977207+00:00,10,2,38,C,B,0,233.67,2,130,167309,11411832,AAPL,-2,-2,-43.75240245796251
2024-10-21 11:54:41.238618235+00:00,2024-10-21 11:54:41.238618235+00:00,10,2,38,A,B,0,233.7,2,130,166459,11411834,AAPL,2,924,43.590823321950204
2024-10-21 11:54:41.239827037+00:00,2024-10-21 11:54:41.239827037+00:00,10,2,38,A,B,0,233.7,3,130,166419,11411835,AAPL,3,3,-43.67116698480137
2024-10-21 11:54:50.970297264+00:00,2024-10-21 11:54:50.970297264+00:00,10,2,38,C,A,4,233.79,29,130,166319,11416279,AAPL,0,653,10.79799701966181
2024-10-21 11:54:50.970336474+00:00,2024-10-21 11:54:50.970336474+00:00,10,2,38,A,A,3,233.78,29,130,167127,11416280,AAPL,0,29,-37.69749819622737
2024-10-21 11:54:53.247532557+00:00,2024-10-21 11:54:53.247532557+00:00,10,2,38,C,B,0,233.7,3,130,166246,11417889,AAPL,-3,-3,-43.76864955259474
2024-10-21 11:54:53.248893986+00:00,2024-10-21 11:54:53.248893986+00:00,10,2,38,C,B,0,233.7,2,130,166186,11417890,AAPL,-2,-924,-131.0306398593463
2024-10-21 11:54:53.251320969+00:00,2024-10-21 11:54:53.251320969+00:00,10,2,38,A,B,0,233.67,3,130,167074,11417891,AAPL,3,3,-43.67116698480137
2024-10-21 11:54:53.252546517+00:00,2024-10-21 11:54:53.252546517+00:00,10,2,38,A,B,0,233.67,2,130,166278,11417894,AAPL,2,2,-43.687414079433594
2024-10-21 11:54:55.503497741+00:00,2024-10-21 11:54:55.503497741+00:00,10,2,38,C,B,3,233.48,28,130,166282,11418757,AAPL,0,-428,-88.55709406497174
2024-10-21 11:54:55.503541005+00:00,2024-10-21 11:54:55.503541005+00:00,10,2,38,A,B,3,233.51,27,130,166344,11418758,AAPL,0,427,0.9096082147318061
2024-10-21 11:54:55.551806996+00:00,2024-10-21 11:54:55.551806996+00:00,10,2,38,A,B,1,233.59,400,130,166706,11418795,AAPL,0,400,-16.428547458725237
2024-10-21 11:54:58.132928650+00:00,2024-10-21 11:54:58.132928650+00:00,10,2,38,C,A,5,233.9,200,130,166382,11420067,AAPL,0,999,44.70403803962107
2024-10-21 11:54:58.133944065+00:00,2024-10-21 11:54:58.133944065+00:00,10,2,38,A,A,1,233.75,200,130,166667,11420068,AAPL,0,200,-30.074227863711645
2024-10-21 11:55:09.125042325+00:00,2024-10-21 11:55:09.125042325+00:00,10,2,38,C,B,1,233.59,400,130,166287,11428279,AAPL,0,-837,-116.71262229243143
2024-10-21 11:55:09.125055670+00:00,2024-10-21 11:55:09.125055670+00:00,10,2,38,A,B,1,233.57,400,130,166738,11428280,AAPL,0,837,29.27280575503532
2024-10-21 11:55:09.160009889+00:00,2024-10-21 11:55:09.160009889+00:00,10,2,38,C,A,3,233.78,29,130,166350,11428375,AAPL,0,-29,-49.74231834116874
2024-10-21 11:55:09.160051447+00:00,2024-10-21 11:55:09.160051447+00:00,10,2,38,A,A,2,233.77,27,130,166235,11428376,AAPL,0,27,-40.82594909680516
2024-10-21 11:55:13.899151539+00:00,2024-10-21 11:55:13.899151539+00:00,10,2,38,A,B,1,233.59,400,130,167127,11431712,AAPL,0,400,-16.428547458725237
2024-10-21 11:55:22.016715475+00:00,2024-10-21 11:55:22.016715475+00:00,10,2,38,C,B,3,233.51,27,130,206867,11437208,AAPL,0,-427,-88.34942475212792
2024-10-21 11:55:22.060173668+00:00,2024-10-21 11:55:22.060173668+00:00,10,2,38,A,B,3,233.52,27,130,166168,11437365,AAPL,0,427,0.9096082147318061
2024-10-21 11:55:22.132778490+00:00,2024-10-21 11:55:22.132778490+00:00,10,2,38,A,B,1,233.6,400,130,166402,11437593,AAPL,0,400,-16.428547458725237
2024-10-21 11:55:26.447978801+00:00,2024-10-21 11:55:26.447978801+00:00,10,2,38,A,A,0,233.73,200,130,166362,11440665,AAPL,200,200,-40.470489342252456
2024-10-21 11:55:30.365285173+00:00,2024-10-21 11:55:30.365285173+00:00,10,2,38,C,B,1,233.6,400,130,165847,11442747,AAPL,0,-837,-116.71262229243143
2024-10-21 11:55:30.365297270+00:00,2024-10-21 11:55:30.365297270+00:00,10,2,38,A,B,1,233.54,400,130,166671,11442749,AAPL,0,837,29.27280575503532
2024-10-21 11:55:30.377046532+00:00,2024-10-21 11:55:30.377046532+00:00,10,2,38,C,B,3,233.52,27,130,167028,11443045,AAPL,0,-427,-88.34942475212792
2024-10-21 11:55:30.377110788+00:00,2024-10-21 11:55:30.377110788+00:00,10,2,38,A,B,2,233.53,30,130,166255,11443050,AAPL,0,30,-40.50439807770595
2024-10-21 11:55:30.509413271+00:00,2024-10-21 11:55:30.509413271+00:00,10,2,38,C,A,2,233.77,27,130,168420,11443614,AAPL,0,-27,-46.613867440590944
2024-10-21 11:55:30.509458075+00:00,2024-10-21 11:55:30.509458075+00:00,10,2,38,A,A,4,233.79,27,130,166334,11443615,AAPL,0,851,23.112068842295262
2024-10-21 11:55:30.559949308+00:00,2024-10-21 11:55:30.559949308+00:00,10,2,38,A,B,1,233.55,400,130,166447,11443807,AAPL,0,400,-16.428547458725237
2024-10-21 11:55:31.194923125+00:00,2024-10-21 11:55:31.194923125+00:00,10,2,38,A,B,2,233.54,27,130,166471,11444867,AAPL,0,467,6.503268453594315
2024-10-21 11:55:31.195023714+00:00,2024-10-21 11:55:31.195023714+00:00,10,2,38,C,B,3,233.53,30,130,166066,11444870,AAPL,0,-30,-49.94998765401255
2024-10-21 11:55:34.079261198+00:00,2024-10-21 11:55:34.079261198+00:00,10,2,38,C,B,0,233.67,139,130,166298,11447051,AAPL,-139,-139,-45.978254422577734
2024-10-21 11:55:35.302921978+00:00,2024-10-21 11:55:35.302921978+00:00,10,2,38,C,B,0,233.67,2,130,166810,11448345,AAPL,-2,-2,-43.75240245796251
2024-10-21 11:55:35.303067914+00:00,2024-10-21 11:55:35.303067914+00:00,10,2,38,C,B,0,233.67,3,130,166174,11448346,AAPL,-3,-840,-115.05310769954544
2024-10-21 11:55:35.304531207+00:00,2024-10-21 11:55:35.304531207+00:00,10,2,38,A,B,0,233.67,2,130,166908,11448347,AAPL,2,839,27.597044067517086
2024-10-21 11:55:35.305736838+00:00,2024-10-21 11:55:35.305736838+00:00,10,2,38,C,B,0,233.67,2,130,166111,11448348,AAPL,-2,-839,-115.03686060491319
2024-10-21 11:55:35.374212373+00:00,2024-10-21 11:55:35.374212373+00:00,10,2,38,C,B,0,233.55,400,130,166138,11448379,AAPL,-400,-838,-95.89582566969051
2024-10-21 11:55:35.374226300+00:00,2024-10-21 11:55:35.374226300+00:00,10,2,38,A,B,2,233.5,200,130,166376,11448380,AAPL,0,601,20.47990230101335
2024-10-21 11:55:38.243671650+00:00,2024-10-21 11:55:38.243671650+00:00,10,2,38,C,A,0,233.73,200,130,166586,11450385,AAPL,200,1410,72.08326288658927
2024-10-21 11:55:38.243683612+00:00,2024-10-21 11:55:38.243683612+00:00,10,2,38,A,A,0,233.75,200,130,166213,11450386,AAPL,200,200,-40.470489342252456
2024-10-21 11:55:38.298336797+00:00,2024-10-21 11:55:38.298336797+00:00,10,2,38,A,B,2,233.51,200,130,166278,11450436,AAPL,0,200,-22.28317366208405
2024-10-21 11:55:38.572413983+00:00,2024-10-21 11:55:38.572413983+00:00,10,2,38,A,A,0,233.74,200,130,166562,11450747,AAPL,200,1410,72.08326288658927
2024-10-21 11:55:44.733510979+00:00,2024-10-21 11:55:44.733510979+00:00,10,2,38,A,B,0,233.55,29,130,166622,11455418,AAPL,29,666,40.22156866605057
2024-10-21 11:55:44.791957886+00:00,2024-10-21 11:55:44.791957886+00:00,10,2,38,C,B,1,233.54,27,130,166361,11455485,AAPL,0,-637,-127.19021945911204
2024-10-21 11:55:51.293948230+00:00,2024-10-21 11:55:51.293948230+00:00,10,2,38,A,A,0,233.73,100,130,166785,11459624,AAPL,100,1110,49.760877476526204
2024-10-21 11:55:51.294217665+00:00,2024-10-21 11:55:51.294217665+00:00,10,2,38,C,A,0,233.73,100,130,165826,11459625,AAPL,100,1110,49.760877476526204
2024-10-21 11:55:51.365188500+00:00,2024-10-21 11:55:51.365188500+00:00,10,2,38,C,B,2,233.51,200,130,165978,11459674,AAPL,0,-601,-107.91971883840945
2024-10-21 11:55:51.401597368+00:00,2024-10-21 11:55:51.401597368+00:00,10,2,38,A,B,2,233.47,200,130,166005,11459719,AAPL,0,601,20.47990230101335
